Hotel_Name,Average_Score,Hotel_Address,Review_Date,Postal_Code,City,lat,lng,Clean_Tags,Positive_Review,Negative_Review
11 Cadogan Gardens,8.7,11 Cadogan Gardens Sloane Square Kensington and Chelsea London SW3 2RJ United Kingdom,8/3/2017,SW3 2RJ,London,51.4936161,-0.1592347,"Leisure trip, Couple, Superior Queen Room, Stayed 1 night","We were particularly impressed by the very warm welcome we received a lovely hotel in a superb location good size room with excellent bathroom We will come back and already have recommended it to friends and relatives, Customer service was above and beyond from all staff Richie Long is attentive and nothing was too much trouble in fact all the staff were amazing shout out to Richie Emerson and Christian, The bed was spacious and very comfy Loads of hangers in the wardrobe The staff were extremely polite and attentive Breakfast was a real treat This is a perfect hotel if you want a special treat","Thought the prise of drinks at the bar a little excessive, There was nothing to dislike, Bathroom in our room was very small but well appointed"
41,9.6,41 Buckingham Palace Road Westminster Borough London SW1W 0PS United Kingdom,5/25/2017,SW1W 0PS,London,51.4981471,-0.1436492,"Leisure trip, Couple, Executive King Room with Lounge Access, Stayed 1 night","Amazing attention to detail Our stay was made special Food was 5 friendly helps full staff that can t do enough to help you, This was our second visit here in a year It is a small hotel in a great location very luxurious and has everything we enjoy in a hotel Some nice extra touches and the staff are just brilliant and that makes it an extra special place to visit, The staff are so friendly and helpful nothing is too much trouble they remember you by name which is a personal touch and one you do not get with a larger establishment The hotel itself is beautifully furnished with lots of extra features that make it memorable the Pantry and Ice cream that you can help yourself to and the honesty bar make a very homely and relaxed feel The breakfast was excellent and the bedrooms are beautifully decorated and spacious by London standards","Minimal wifi in the bedroom, Nothing everything about the hotel is exceptional, Only stayed one night not long enough"
45 Park Lane Dorchester Collection,9.4,45 Park Lane Westminster Borough London W1K 1PN United Kingdom,2/21/2017,W1K 1PN,London,51.5063709,-0.1515359,"Leisure trip, Solo traveler, Executive Queen Room, Stayed 3 nights, Submitted from a mobile device","Everything here are almost perfect the staffs are very friendly and the room is very comfortable By the way the steak in CUT is worth to have a try, The staff were absolutely wonderful and couldn t do enough for us and the food at Cut was superb, Friendliness and helpfulness of the staff Cleanliness of the hotel and room Nice bar and great restaurant Best breakfast I ve ever had ever","More kinds of fruit juice will make the mini bar better, We didn t see another English guest and it appeared to be full of guests from the Middle East which didn t make us feel very comfortable I m afraid as they are not at all friendly from our experience staying there, Whenever we had Breakfast Tea brought to the room it was always cold The price of mini bar was extortionate 8 for a small bottle of Coke 9 for a packet of Crisps and 15 for 50ml of Grey Goose Vodka It s normally about 34 from the high street for 75cl which is 15 times bigger Some exotic teas are 30 plus"
88 Studios,8.4,88 Holland Road Kensington and Chelsea London W14 8BN United Kingdom,8/2/2017,W14 8BN,London,51.4992789,-0.2090733,"Leisure trip, Family with young children, Family Studio, Stayed 1 night, Submitted from a mobile device","It was a very nice apartment and the customer service was even better I loved the free toiletries and the water etc in the fridge, The rooms were made full use of the small space The kitchen area was the perfect size catered all our needs The bathrooms were up to date which made the place look modern and welcoming Quiet location and area was perfect after long days, Liked having the family room with kitchenette even though we didn t have an opportunity to use it Also liked the modern amenities","Maybe more selection of tea coffee hot chocolate and biscuits xx, The only thing I would say is that as a group of girls sharing together having a bathroom door you could see right through although it was frosted it didn t give you much privacy But everything else was excellent xx, The additional bed was not as comfortable as the double bed The kitchen area did not have enough space to put washed dishes there wasn t a rack provided The entrance of the room had a small staircase which was not desirable From our room we could hear other rooms bathrooms when they flushed which was annoying at late hours"
Ace Hotel London Shoreditch,8.6,100 Shoreditch High Street Hackney London E1 6JQ United Kingdom,8/2/2017,E1 6JQ,London,51.5254162,-0.0772849,"Leisure trip, Solo traveler, Standard Double Room, Stayed 1 night, Submitted from a mobile device","Effective security staff on the front door after the hotel s party finished easily distinguishing hotel guests from clubbers, I have stayed at ACE Palm Springs and loved it so thought I d check out ACE London as part of my stay in London On both arrival and departure the staff were very friendly and helpful The hotel is designed to a very high standard I booked a standard double room which was very comfortable and more importantly clean The bed linen was very good quality as was the bathroom and accessories facilities, Spacious for 4 people sharing Ideal for chilling out in","There was a heavy downpour I had to queue and ask for an umbrella at reception instead of a doorman offering, I was woken up at 12 30am to a very loud piercing fire alarm The hotel was evacuated and had to stand in pyjamas outside for the next half hour I was asked how my stay was on departure I do understand they have to adhere to health and safety regulations however I did mention I was disappointed at being woken up so unexpectedly I did not think the staff member empathised too much and I felt it spoiled my stay as this is not a cheap hotel, I was surprised that toiletries were not complimentary It isn t the cheapest hotel to stay at and it would feel more better value for money if there were some complimentary items"
Adria Boutique Hotel,8.8,88 Queens Gate Kensington and Chelsea London SW7 5AB United Kingdom,7/13/2017,SW7 5AB,London,51.4933372,-0.1788931,"Leisure trip, Couple, Deluxe King Room, Stayed 2 nights, Submitted from a mobile device","Decor was beautiful Common areas were comfy, Really helpful and polite staff Lovely room with super comfy bed and soft sheets The hotel only has off street parking which I didn t realise but for us that was fine and they don t serve alcohol this wasn t an issue for us and you could provide your own if you wanted to The mini bar was stocked with lovely soft drinks coffee machine and water all free of charge We asked for a kettle and we re brought tea bags and fresh milk within minutes They d even boiled the kettle for us ready for making the baby milk Really thoughtful, Location great for 2x tube stations bars cafes bakeries Stayed on a Friday but traffic not noisy Slight rumble on tube underground but not intrusive at all Decor beautiful expensive plush well maintained no chipped paint etc Room exactly like the photo Bed huge and extremely comfortable Duvet light and warm Air con very effective Butler service excellent Couldn t fault it","The organisation was a little haphazard check is process wasn t explained There was no alcohol served which was not a problem but could have been noted when booking The breakfast was not well staffed As a single female having breakfast alone I was ignored and felt it was because I wasn t accompanied There strog traditional vibe, There was no information book in the room regarding facilities eg the spa how to use the Tv in the bathroom the nearest tube etc I am sure it would have been resolved if we had spoken to reception about it, As usual the lighting in the bathroom was insufficient to use the mirror and too far away Actually the bathroom could ve been better designed altogether The temperature in the room was way too hot and the thermostat didn t work Resorted to leaving the window wide open"
Aloft London Excel,8.7,One Eastern Gateway Royal Victoria Dock Newham London E16 1FR United Kingdom,8/2/2017,E16 1FR,London,51.5083719,0.0355768,"Leisure trip, Group, Double or Twin Room, Stayed 2 nights, Submitted from a mobile device","I got a complimentary cocktail for my birthday weekend loved the gym and pool and steam room and sauna Amazing, Very nice hotel and friendly staff excellent soundproof system and had a good night sleep, Sauna great size beds interior exterior","Didn t think it would be that far from central london but oh well, Hotel to this standard should have bath instead of shower only thing I missed after a long tiring day is taking bath, We arrived for breakfast but someone has already had breakfast on us We still were allowed to eat Toiletries there is not enough for two people"
Amba Hotel Charing Cross,9.3,The Strand Westminster Borough London WC2N 5HX United Kingdom,8/2/2017,WC2N 5HX,London,51.508236,-0.1261963,"Leisure trip, Couple, Deluxe Double Room, Stayed 1 night","Comfy bed complementary minibar free water good cocktail bar with knowledgeable bartenders, The exec suite was amazing The free snacks and drinks in the room the drinks in the amba lounge the effort to provide cake and a hand written note for my partner as it was his birthday, Stephan and Lotte were outstanding with their service They went over and beyond to celebrate my daughters birthday and accommodate our needs We ll be back for sure Excellent location and service","A separate walk in shower would have been nice but I m being picky, The staff in the amba lounge ignored us when we walked in so we wernt are if we needed to wait to be seated for breakfast We sat ourselves down and no staff came so we attempted to make ourselves some coffee but then we we re finally noticed and shooed away from the machine, Not a lot"
Amba Hotel Marble Arch,8.5,Bryanston Street Marble Arch Westminster Borough London W1H 7EH United Kingdom,8/2/2017,W1H 7EH,London,51.5144004,-0.1565506,"Leisure trip, Group, Standard Twin Room, Stayed 1 night, Submitted from a mobile device","I ve stayed at this hotel several times great location clean comfy beds excellent breakfast, Comp freebies in the fridge bathroom incl coffee machine clean good quality bed, Beds were really comfy and the room was nice and spacious compared to other hotels I ve stayed in at London Will definitely come back and recommend","Nothing I didn t like The only thing is it would be good to hav a magnified mirror in bathroom, Long corridors could be better signposted carpet in room slightly stained, We had a problem with the shower water was boiling hot but was fixed asap Also complimentary mini bar had half eaten snacks and bath robes had a packet of opened cigarettes so could do with housekeeping checking these areas These are just small areas to improve on but staff were very helpful and we enjoyed our stay overall"
Ambassadors Bloomsbury,7.9,12 Upper Woburn Place Camden London WC1H 0HX United Kingdom,8/2/2017,WC1H 0HX,London,51.5266618,-0.1296571,"Leisure trip, Couple, Double Room, Stayed 1 night","Our room was at the back as we asked for a quiet room so no view good breakfast plenty of choice Nice coffee about 8 mins walk from Kings Cross, The location was just right staff very professional and clean room, On arrival was given a free room upgrade very close to Euston Station Great value for money didn t eat at the hotel so cannot comment on on food Staff were really friendly and willing to help sevice with a smile","It was too warm for us with the thick douvet could have done with a blanket instead, Staff did not understand my request for room away from main street and above 2nd floor though after explaining was given room on third floor facing main street It was clear this particular staff had problem with understanding English though he was professional about his work Noise in room facing main street The room was so bright at night you could read a book even with all lights switched off, Small rooms I also asked for an early checkin three days before and relieved a generic response from the hotel was greeted with the exact same generic response from staff at the hotel when I arrived and was unable to check in early I feel like they just brushed it off and didn t even attempt to accomodate my request"
